city,lat,lon,temp,cloud,wind speed,humidity,country
hermanus,-34.4187,19.2345,8.22,6,3.55,82,ZA
busselton,-33.65,115.3333,10.58,99,8.59,74,AU
victoria,22.2855,114.1577,29.49,78,3.13,89,HK
georgetown,5.4112,100.3354,26.61,40,1.54,87,MY
cherskiy,68.75,161.3,13.8,100,5.9,45,RU
purepero,19.9167,-102.0167,17.21,100,1.91,84,MX
atuona,-9.8,-139.0333,25.73,14,8.89,79,PF
tezu,27.9167,96.1667,27.68,100,0.48,81,IN
sechura,-5.5569,-80.8222,18.57,6,7.57,76,PE
lebu,-37.6167,-73.65,11.49,89,7.62,86,CL
ushuaia,-54.8,-68.3,-0.54,65,3.71,89,AR
san quintin,30.4833,-115.95,20.8,3,7.37,73,MX
cape town,-33.9258,18.4232,11.07,0,1.34,85,ZA
kaitangata,-46.2817,169.8464,7.18,33,4.88,58,NZ
rikitea,-23.1203,-134.9692,24.2,1,7.86,65,PF
santa fe,-31.6333,-60.7,19.74,0,1.79,69,AR
chuy,-33.6971,-53.4616,13.46,100,5.11,94,UY
majene,-3.5403,118.9707,26.8,100,0.96,77,ID
mataura,-46.1927,168.8643,4.25,99,3.07,90,NZ
port alfred,-33.5906,26.891,11.73,59,3.2,69,ZA
adrar,20.5022,-10.0711,32.12,3,4.22,27,MR
caravelas,-17.7125,-39.2481,20.56,36,3.48,76,BR
nassau,40.7507,-73.5829,21.9,90,0.45,88,US
vaini,-21.2,-175.2,21.72,100,8.86,65,TO
buala,-8.145,159.5921,29.6,10,3.84,70,SB
kilindoni,-7.9139,39.6668,24.92,2,10.7,71,TZ
touros,-5.1989,-35.4608,25.25,5,7.5,78,BR
grootfontein,-19.5667,18.1167,9.26,0,1.87,26,NA
les cayes,18.2,-73.75,25.69,96,2.96,83,HT
punta arenas,-53.15,-70.9167,4.06,75,6.17,65,CL
kununurra,-15.7667,128.7333,22.99,15,2.06,33,AU
cayenne,4.9333,-52.3333,26.16,0,0.0,89,GF
chokurdakh,70.6333,147.9167,18.3,100,6.42,40,RU
lagoa,39.05,-27.9833,20.01,91,5.14,87,PT
cabo san lucas,22.8909,-109.9124,31.3,95,5.36,54,MX
sambava,-14.2667,50.1667,20.65,37,3.6,82,MG
sitka,57.0531,-135.33,16.15,43,3.28,67,US
burnie,-41.0667,145.9167,9.6,32,1.05,59,AU
kahului,20.8947,-156.47,27.13,12,4.47,79,US
keetmanshoop,-26.5833,18.1333,11.81,0,1.65,28,NA
albany,42.6001,-73.9662,22.52,98,0.45,86,US
raudeberg,61.9875,5.1352,15.5,100,2.12,92,NO
berlevag,70.8578,29.0864,16.53,24,3.53,66,NO
tigil,57.8,158.6667,19.9,93,9.34,60,RU
khatanga,71.9667,102.5,12.36,14,4.5,41,RU
cidreira,-30.1811,-50.2056,16.3,6,7.84,86,BR
longyearbyen,78.2186,15.6401,4.91,40,8.75,81,SJ
vestmannaeyjar,63.4427,-20.2734,11.16,100,2.89,94,IS
ponta do sol,32.6667,-17.1,22.38,27,2.02,83,PT
poronaysk,49.2167,143.1167,11.16,100,2.81,96,RU
pisco,-13.7,-76.2167,16.68,0,0.28,80,PE
kapaa,22.0752,-159.319,27.09,72,1.34,78,US
katherine,-14.4667,132.2667,25.18,37,4.63,36,AU
makakilo city,21.3469,-158.0858,28.7,75,5.66,56,US
tuktoyaktuk,69.4541,-133.0374,18.0,90,2.06,82,CA
hilo,19.7297,-155.09,25.96,100,1.79,79,US
marrakesh,31.6315,-8.0083,24.04,0,2.06,57,MA
carnarvon,-24.8667,113.6333,18.04,75,6.17,58,AU
saint george,37.1041,-113.5841,42.85,1,1.34,10,US
abbotsford,49.058,-122.2526,27.49,11,1.79,49,CA
rio gallegos,-51.6226,-69.2181,3.41,100,6.9,74,AR
bredasdorp,-34.5322,20.0403,7.93,4,1.65,89,ZA
somerset east,-32.7217,25.588,6.87,5,1.92,19,ZA
talnakh,69.4865,88.3972,12.2,6,2.17,42,RU
